x,rho,rhou,rhoE,u,p
0.0106011,1.01331,0.303994,2.56224,0.3,1.00666
0.0107011,1.01344,0.304031,2.5624,0.3,1.00672
0.0108011,1.01356,0.304069,2.56256,0.3,1.00678
0.0109011,1.01369,0.304106,2.56273,0.3,1.00684
0.0110011,1.01381,0.304144,2.56289,0.3,1.00691
0.0111011,1.01394,0.304182,2.56305,0.3,1.00697
0.0112011,1.01406,0.304219,2.56321,0.3,1.00703
0.0113011,1.01419,0.304257,2.56338,0.3,1.00709
0.0114011,1.01431,0.304294,2.56354,0.3,1.00716
0.0115012,1.01444,0.304332,2.5637,0.3,1.00722
0.0116012,1.01457,0.30437,2.56386,0.3,1.00728
0.0117012,1.01469,0.304407,2.56402,0.3,1.00735
0.0118012,1.01482,0.304445,2.56419,0.3,1.00741
0.0119012,1.01494,0.304482,2.56435,0.3,1.00747
0.0120012,1.01507,0.30452,2.56451,0.3,1.00753
0.0121012,1.01519,0.304558,2.56467,0.3,1.0076
0.0122012,1.01532,0.304595,2.56484,0.3,1.00766
0.0123012,1.01544,0.304633,2.565,0.3,1.00772
0.0124012,1.01557,0.30467,2.56516,0.3,1.00778
0.0125013,1.01569,0.304708,2.56532,0.3,1.00785
0.0126013,1.01582,0.304746,2.56549,0.3,1.00791
0.0127013,1.01594,0.304783,2.56565,0.3,1.00797
0.0128013,1.01607,0.304821,2.56581,0.3,1.00803
0.0129013,1.01619,0.304858,2.56597,0.3,1.0081
0.0130013,1.01632,0.304896,2.56613,0.3,1.00816
0.0131013,1.01645,0.304934,2.5663,0.3,1.00822
0.0132013,1.01657,0.304971,2.56646,0.3,1.00829
0.0133013,1.0167,0.305009,2.56662,0.3,1.00835
0.0134013,1.01682,0.305046,2.56678,0.3,1.00841
0.0135014,1.01695,0.305084,2.56695,0.3,1.00847
0.0136014,1.01707,0.305121,2.56711,0.3,1.00854
0.0137014,1.0172,0.305159,2.56727,0.3,1.0086
0.0138014,1.01732,0.305196,2.56743,0.3,1.00866
0.0139014,1.01745,0.305234,2.56759,0.3,1.00872
0.0140014,1.01757,0.305272,2.56776,0.3,1.00879
0.0141014,1.0177,0.305309,2.56792,0.3,1.00885
0.0142014,1.01782,0.305347,2.56808,0.3,1.00891
0.0143014,1.01795,0.305384,2.56824,0.3,1.00897
0.0144014,1.01807,0.305422,2.5684,0.3,1.00904
0.0145015,1.0182,0.305459,2.56857,0.3,1.0091
0.0146015,1.01832,0.305497,2.56873,0.3,1.00916
0.0147015,1.01845,0.305534,2.56889,0.3,1.00922
0.0148015,1.01857,0.305572,2.56905,0.3,1.00929
0.0149015,1.0187,0.30561,2.56921,0.3,1.00935
0.0150015,1.01882,0.305647,2.56938,0.3,1.00941
0.0151015,1.01895,0.305685,2.56954,0.3,1.00947
0.0152015,1.01907,0.305722,2.5697,0.3,1.00954
0.0153015,1.0192,0.30576,2.56986,0.3,1.0096
0.0154015,1.01932,0.305797,2.57002,0.3,1.00966
0.0155016,1.01945,0.305835,2.57019,0.3,1.00972
0.0156016,1.01957,0.305872,2.57035,0.3,1.00979
0.0157016,1.0197,0.30591,2.57051,0.3,1.00985
0.0158016,1.01982,0.305947,2.57067,0.3,1.00991
0.0159016,1.01995,0.305985,2.57083,0.3,1.00997
0.0160016,1.02007,0.306022,2.571,0.3,1.01004
0.0161016,1.0202,0.30606,2.57116,0.3,1.0101
0.0162016,1.02032,0.306097,2.57132,0.3,1.01016
0.0163016,1.02045,0.306135,2.57148,0.3,1.01022
0.0164016,1.02057,0.306172,2.57164,0.3,1.01029
0.0165017,1.0207,0.30621,2.57181,0.3,1.01035
0.0166017,1.02082,0.306247,2.57197,0.3,1.01041
0.0167017,1.02095,0.306285,2.57213,0.3,1.01047
0.0168017,1.02107,0.306322,2.57229,0.3,1.01054
0.0169017,1.0212,0.30636,2.57245,0.3,1.0106
0.0170017,1.02132,0.306397,2.57262,0.3,1.01066
0.0171017,1.02145,0.306435,2.57278,0.3,1.01072
0.0172017,1.02157,0.306472,2.57294,0.3,1.01079
0.0173017,1.0217,0.30651,2.5731,0.3,1.01085
0.0174017,1.02182,0.306547,2.57326,0.3,1.01091
0.0175018,1.02195,0.306585,2.57342,0.3,1.01097
0.0176018,1.02207,0.306622,2.57359,0.3,1.01104
0.0177018,1.0222,0.30666,2.57375,0.3,1.0111
0.0178018,1.02232,0.306697,2.57391,0.3,1.01116
0.0179018,1.02245,0.306735,2.57407,0.3,1.01122
0.0180018,1.02257,0.306772,2.57423,0.3,1.01129
0.0181018,1.0227,0.30681,2.57439,0.3,1.01135
0.0182018,1.02282,0.306847,2.57456,0.3,1.01141
0.0183018,1.02295,0.306884,2.57472,0.3,1.01147
0.0184018,1.02307,0.306922,2.57488,0.3,1.01154
0.0185019,1.0232,0.306959,2.57504,0.3,1.0116
0.0186019,1.02332,0.306997,2.5752,0.3,1.01166
0.0187019,1.02345,0.307034,2.57536,0.3,1.01172
0.0188019,1.02357,0.307072,2.57553,0.3,1.01179
0.0189019,1.0237,0.307109,2.57569,0.3,1.01185
0.0190019,1.02382,0.307147,2.57585,0.3,1.01191
0.0191019,1.02395,0.307184,2.57601,0.3,1.01197
0.0192019,1.02407,0.307221,2.57617,0.3,1.01204
0.0193019,1.0242,0.307259,2.57633,0.3,1.0121
0.0194019,1.02432,0.307296,2.5765,0.3,1.01216
0.019502,1.02445,0.307334,2.57666,0.3,1.01222
0.019602,1.02457,0.307371,2.57682,0.3,1.01229
0.019702,1.0247,0.307409,2.57698,0.3,1.01235
0.019802,1.02482,0.307446,2.57714,0.3,1.01241
0.019902,1.02494,0.307483,2.5773,0.3,1.01247
0.020002,1.02507,0.307521,2.57746,0.3,1.01253
0.020102,1.02519,0.307558,2.57763,0.3,1.0126
0.020202,1.02532,0.307596,2.57779,0.3,1.01266
0.020302,1.02544,0.307633,2.57795,0.3,1.01272
0.020402,1.02557,0.30767,2.57811,0.3,1.01278
0.0205021,1.02569,0.307708,2.57827,0.3,1.01285
0.0206021,1.02582,0.307745,2.57843,0.3,1.01291
0.0207021,1.02594,0.307783,2.57859,0.3,1.01297
0.0208021,1.02607,0.30782,2.57876,0.3,1.01303
0.0209021,1.02619,0.307857,2.57892,0.3,1.0131
