x,rho,rhou,rhoE,u,p
0.010201,0.994127,0.267545,2.5268,0.269126,0.996319
0.010301,0.994249,0.267582,2.52695,0.269129,0.996378
0.010401,0.994372,0.267618,2.5271,0.269132,0.996436
0.0105011,0.994494,0.267654,2.52726,0.269136,0.996495
0.0106011,0.994617,0.26769,2.52741,0.269139,0.996554
0.0107011,0.994739,0.267726,2.52756,0.269142,0.996612
0.0108011,0.994862,0.267762,2.52771,0.269145,0.996671
0.0109011,0.994985,0.267799,2.52786,0.269148,0.99673
0.0110011,0.995107,0.267835,2.52801,0.269152,0.996788
0.0111011,0.99523,0.267871,2.52817,0.269155,0.996847
0.0112011,0.995352,0.267907,2.52832,0.269158,0.996906
0.0113011,0.995475,0.267943,2.52847,0.269161,0.996964
0.0114011,0.995597,0.26798,2.52862,0.269165,0.997023
0.0115012,0.99572,0.268016,2.52877,0.269168,0.997082
0.0116012,0.995843,0.268052,2.52893,0.269171,0.99714
0.0117012,0.995965,0.268089,2.52908,0.269175,0.997199
0.0118012,0.996088,0.268125,2.52923,0.269178,0.997258
0.0119012,0.99621,0.268161,2.52938,0.269181,0.997316
0.0120012,0.996333,0.268197,2.52954,0.269185,0.997375
0.0121012,0.996455,0.268234,2.52969,0.269188,0.997434
0.0122012,0.996578,0.26827,2.52984,0.269191,0.997492
0.0123012,0.996701,0.268307,2.52999,0.269195,0.997551
0.0124012,0.996823,0.268343,2.53014,0.269198,0.99761
0.0125013,0.996946,0.268379,2.5303,0.269201,0.997669
0.0126013,0.997068,0.268416,2.53045,0.269205,0.997727
0.0127013,0.997191,0.268452,2.5306,0.269208,0.997786
0.0128013,0.997314,0.268489,2.53075,0.269212,0.997845
0.0129013,0.997436,0.268525,2.5309,0.269215,0.997903
0.0130013,0.997559,0.268561,2.53106,0.269219,0.997962
0.0131013,0.997681,0.268598,2.53121,0.269222,0.998021
0.0132013,0.997804,0.268634,2.53136,0.269226,0.998079
0.0133013,0.997927,0.268671,2.53151,0.269229,0.998138
0.0134013,0.998049,0.268707,2.53166,0.269233,0.998197
0.0135014,0.998172,0.268744,2.53182,0.269236,0.998256
0.0136014,0.998294,0.26878,2.53197,0.26924,0.998314
0.0137014,0.998417,0.268817,2.53212,0.269243,0.998373
0.0138014,0.99854,0.268854,2.53227,0.269247,0.998432
0.0139014,0.998662,0.26889,2.53243,0.26925,0.99849
0.0140014,0.998785,0.268927,2.53258,0.269254,0.998549
0.0141014,0.998907,0.268963,2.53273,0.269258,0.998608
0.0142014,0.99903,0.269,2.53288,0.269261,0.998667
0.0143014,0.999153,0.269037,2.53303,0.269265,0.998725
0.0144014,0.999275,0.269073,2.53319,0.269268,0.998784
0.0145015,0.999398,0.26911,2.53334,0.269272,0.998843
0.0146015,0.99952,0.269146,2.53349,0.269276,0.998902
0.0147015,0.999643,0.269183,2.53364,0.269279,0.99896
0.0148015,0.999766,0.26922,2.5338,0.269283,0.999019
0.0149015,0.999888,0.269256,2.53395,0.269287,0.999078
0.0150015,1.00001,0.269293,2.5341,0.26929,0.999136
0.0151015,1.00013,0.26933,2.53425,0.269294,0.999195
0.0152015,1.00026,0.269367,2.5344,0.269298,0.999254
0.0153015,1.00038,0.269403,2.53456,0.269301,0.999313
0.0154015,1.0005,0.26944,2.53471,0.269305,0.999371
0.0155016,1.00062,0.269477,2.53486,0.269309,0.99943
0.0156016,1.00075,0.269514,2.53501,0.269313,0.999489
0.0157016,1.00087,0.26955,2.53517,0.269316,0.999548
0.0158016,1.00099,0.269587,2.53532,0.26932,0.999606
0.0159016,1.00111,0.269624,2.53547,0.269324,0.999665
0.0160016,1.00124,0.269661,2.53562,0.269328,0.999724
0.0161016,1.00136,0.269698,2.53578,0.269332,0.999783
0.0162016,1.00148,0.269735,2.53593,0.269335,0.999841
0.0163016,1.0016,0.269771,2.53608,0.269339,0.9999
0.0164016,1.00173,0.269808,2.53623,0.269343,0.999959
0.0165017,1.00185,0.269845,2.53639,0.269347,1.00002
0.0166017,1.00197,0.269882,2.53654,0.269351,1.00008
0.0167017,1.00209,0.269919,2.53669,0.269355,1.00014
0.0168017,1.00222,0.269956,2.53684,0.269359,1.00019
0.0169017,1.00234,0.269993,2.53699,0.269362,1.00025
0.0170017,1.00246,0.27003,2.53715,0.269366,1.00031
0.0171017,1.00259,0.270067,2.5373,0.26937,1.00037
0.0172017,1.00271,0.270104,2.53745,0.269374,1.00043
0.0173017,1.00283,0.270141,2.5376,0.269378,1.00049
0.0174017,1.00295,0.270178,2.53776,0.269382,1.00055
0.0175018,1.00308,0.270215,2.53791,0.269386,1.00061
0.0176018,1.0032,0.270252,2.53806,0.26939,1.00066
0.0177018,1.00332,0.270289,2.53821,0.269394,1.00072
0.0178018,1.00344,0.270326,2.53837,0.269398,1.00078
0.0179018,1.00357,0.270363,2.53852,0.269402,1.00084
0.0180018,1.00369,0.2704,2.53867,0.269406,1.0009
0.0181018,1.00381,0.270437,2.53882,0.26941,1.00096
0.0182018,1.00393,0.270474,2.53898,0.269414,1.00102
0.0183018,1.00406,0.270511,2.53913,0.269418,1.00108
0.0184018,1.00418,0.270548,2.53928,0.269422,1.00113
0.0185019,1.0043,0.270585,2.53943,0.269426,1.00119
0.0186019,1.00442,0.270623,2.53959,0.269431,1.00125
0.0187019,1.00455,0.27066,2.53974,0.269435,1.00131
0.0188019,1.00467,0.270697,2.53989,0.269439,1.00137
0.0189019,1.00479,0.270734,2.54004,0.269443,1.00143
0.0190019,1.00491,0.270771,2.5402,0.269447,1.00149
0.0191019,1.00504,0.270808,2.54035,0.269451,1.00155
0.0192019,1.00516,0.270846,2.5405,0.269455,1.0016
0.0193019,1.00528,0.270883,2.54065,0.269459,1.00166
0.0194019,1.0054,0.27092,2.54081,0.269464,1.00172
0.019502,1.00553,0.270957,2.54096,0.269468,1.00178
0.019602,1.00565,0.270994,2.54111,0.269472,1.00184
0.019702,1.00577,0.271032,2.54126,0.269476,1.0019
0.019802,1.00589,0.271069,2.54142,0.26948,1.00196
0.019902,1.00602,0.271106,2.54157,0.269485,1.00202
0.020002,1.00614,0.271144,2.54172,0.269489,1.00207
0.020102,1.00626,0.271181,2.54187,0.269493,1.00213
0.020202,1.00638,0.271218,2.54203,0.269497,1.00219
0.020302,1.00651,0.271256,2.54218,0.269502,1.00225
0.020402,1.00663,0.271293,2.54233,0.269506,1.00231
0.0205021,1.00675,0.27133,2.54248,0.26951,1.00237
0.0206021,1.00688,0.271368,2.54264,0.269515,1.00243
0.0207021,1.007,0.271405,2.54279,0.269519,1.00249
0.0208021,1.00712,0.271442,2.54294,0.269523,1.00254
0.0209021,1.00724,0.27148,2.54309,0.269528,1.0026
0.0210021,1.00737,0.271517,2.54325,0.269532,1.00266
0.0211021,1.00749,0.271555,2.5434,0.269536,1.00272
0.0212021,1.00761,0.271592,2.54355,0.269541,1.00278
0.0213021,1.00773,0.271629,2.5437,0.269545,1.00284
0.0214021,1.00786,0.271667,2.54386,0.26955,1.0029
0.0215022,1.00798,0.271704,2.54401,0.269554,1.00296
0.0216022,1.0081,0.271742,2.54416,0.269558,1.00301
0.0217022,1.00822,0.271779,2.54431,0.269563,1.00307
0.0218022,1.00835,0.271817,2.54447,0.269567,1.00313
0.0219022,1.00847,0.271854,2.54462,0.269572,1.00319
0.0220022,1.00859,0.271892,2.54477,0.269576,1.00325
0.0221022,1.00871,0.271929,2.54492,0.269581,1.00331
0.0222022,1.00884,0.271967,2.54508,0.269585,1.00337
0.0223022,1.00896,0.272004,2.54523,0.26959,1.00343
0.0224022,1.00908,0.272042,2.54538,0.269594,1.00348
0.0225023,1.0092,0.27208,2.54553,0.269599,1.00354
0.0226023,1.00933,0.272117,2.54569,0.269603,1.0036
0.0227023,1.00945,0.272155,2.54584,0.269608,1.00366
0.0228023,1.00957,0.272192,2.54599,0.269612,1.00372
0.0229023,1.00969,0.27223,2.54614,0.269617,1.00378
0.0230023,1.00981,0.272268,2.5463,0.269621,1.00384
0.0231023,1.00994,0.272305,2.54645,0.269626,1.0039
0.0232023,1.01006,0.272343,2.5466,0.269631,1.00395
0.0233023,1.01018,0.272381,2.54675,0.269635,1.00401
0.0234023,1.0103,0.272418,2.54691,0.26964,1.00407
0.0235024,1.01043,0.272456,2.54706,0.269644,1.00413
0.0236024,1.01055,0.272494,2.54721,0.269649,1.00419
0.0237024,1.01067,0.272531,2.54736,0.269654,1.00425
0.0238024,1.01079,0.272569,2.54752,0.269658,1.00431
0.0239024,1.01092,0.272607,2.54767,0.269663,1.00437
0.0240024,1.01104,0.272645,2.54782,0.269668,1.00442
0.0241024,1.01116,0.272682,2.54798,0.269672,1.00448
0.0242024,1.01128,0.27272,2.54813,0.269677,1.00454
0.0243024,1.01141,0.272758,2.54828,0.269682,1.0046
0.0244024,1.01153,0.272796,2.54843,0.269687,1.00466
0.0245025,1.01165,0.272833,2.54859,0.269691,1.00472
0.0246025,1.01177,0.272871,2.54874,0.269696,1.00478
0.0247025,1.0119,0.272909,2.54889,0.269701,1.00484
0.0248025,1.01202,0.272947,2.54904,0.269706,1.00489
0.0249025,1.01214,0.272985,2.5492,0.26971,1.00495
0.0250025,1.01226,0.273023,2.54935,0.269715,1.00501
0.0251025,1.01239,0.27306,2.5495,0.26972,1.00507
0.0252025,1.01251,0.273098,2.54965,0.269725,1.00513
0.0253025,1.01263,0.273136,2.54981,0.26973,1.00519
0.0254025,1.01275,0.273174,2.54996,0.269734,1.00525
0.0255026,1.01287,0.273212,2.55011,0.269739,1.00531
0.0256026,1.013,0.27325,2.55026,0.269744,1.00536
0.0257026,1.01312,0.273288,2.55042,0.269749,1.00542
0.0258026,1.01324,0.273326,2.55057,0.269754,1.00548
0.0259026,1.01336,0.273364,2.55072,0.269759,1.00554
0.0260026,1.01349,0.273402,2.55087,0.269764,1.0056
0.0261026,1.01361,0.27344,2.55103,0.269768,1.00566
0.0262026,1.01373,0.273478,2.55118,0.269773,1.00572
0.0263026,1.01385,0.273516,2.55133,0.269778,1.00578
0.0264026,1.01398,0.273554,2.55148,0.269783,1.00583
0.0265027,1.0141,0.273592,2.55164,0.269788,1.00589
0.0266027,1.01422,0.27363,2.55179,0.269793,1.00595
0.0267027,1.01434,0.273668,2.55194,0.269798,1.00601
0.0268027,1.01446,0.273706,2.55209,0.269803,1.00607
0.0269027,1.01459,0.273744,2.55225,0.269808,1.00613
0.0270027,1.01471,0.273782,2.5524,0.269813,1.00619
0.0271027,1.01483,0.27382,2.55255,0.269818,1.00624
0.0272027,1.01495,0.273858,2.55271,0.269823,1.0063
0.0273027,1.01508,0.273896,2.55286,0.269828,1.00636
0.0274027,1.0152,0.273934,2.55301,0.269833,1.00642
0.0275028,1.01532,0.273972,2.55316,0.269838,1.00648
0.0276028,1.01544,0.27401,2.55332,0.269843,1.00654
0.0277028,1.01556,0.274049,2.55347,0.269848,1.0066
0.0278028,1.01569,0.274087,2.55362,0.269854,1.00666
0.0279028,1.01581,0.274125,2.55377,0.269859,1.00671
0.0280028,1.01593,0.274163,2.55393,0.269864,1.00677
0.0281028,1.01605,0.274201,2.55408,0.269869,1.00683
0.0282028,1.01618,0.274239,2.55423,0.269874,1.00689
0.0283028,1.0163,0.274278,2.55438,0.269879,1.00695
0.0284028,1.01642,0.274316,2.55454,0.269884,1.00701
0.0285029,1.01654,0.274354,2.55469,0.269889,1.00707
0.0286029,1.01666,0.274392,2.55484,0.269895,1.00713
0.0287029,1.01679,0.27443,2.55499,0.2699,1.00718
0.0288029,1.01691,0.274469,2.55515,0.269905,1.00724
0.0289029,1.01703,0.274507,2.5553,0.26991,1.0073
0.0290029,1.01715,0.274545,2.55545,0.269915,1.00736
0.0291029,1.01728,0.274583,2.5556,0.269921,1.00742
0.0292029,1.0174,0.274622,2.55576,0.269926,1.00748
0.0293029,1.01752,0.27466,2.55591,0.269931,1.00754
0.0294029,1.01764,0.274698,2.55606,0.269936,1.00759
0.029503,1.01776,0.274737,2.55621,0.269942,1.00765
0.029603,1.01789,0.274775,2.55637,0.269947,1.00771
0.029703,1.01801,0.274813,2.55652,0.269952,1.00777
0.029803,1.01813,0.274852,2.55667,0.269957,1.00783
0.029903,1.01825,0.27489,2.55682,0.269963,1.00789
0.030003,1.01837,0.274928,2.55698,0.269968,1.00795
0.030103,1.0185,0.274967,2.55713,0.269973,1.008
0.030203,1.01862,0.275005,2.55728,0.269979,1.00806
0.030303,1.01874,0.275044,2.55743,0.269984,1.00812
0.030403,1.01886,0.275082,2.55759,0.269989,1.00818
0.0305031,1.01898,0.27512,2.55774,0.269995,1.00824
0.0306031,1.01911,0.275159,2.55789,0.27,1.0083
0.0307031,1.01923,0.275197,2.55804,0.270006,1.00836
0.0308031,1.01935,0.275236,2.5582,0.270011,1.00842
0.0309031,1.01947,0.275274,2.55835,0.270016,1.00847
0.0310031,1.01959,0.275313,2.5585,0.270022,1.00853
0.0311031,1.01972,0.275351,2.55865,0.270027,1.00859
0.0312031,1.01984,0.27539,2.55881,0.270033,1.00865
0.0313031,1.01996,0.275428,2.55896,0.270038,1.00871
0.0314031,1.02008,0.275467,2.55911,0.270044,1.00877
0.0315032,1.0202,0.275505,2.55926,0.270049,1.00883
0.0316032,1.02033,0.275544,2.55942,0.270055,1.00888
0.0317032,1.02045,0.275582,2.55957,0.27006,1.00894
0.0318032,1.02057,0.275621,2.55972,0.270066,1.009
0.0319032,1.02069,0.275659,2.55987,0.270071,1.00906
0.0320032,1.02081,0.275698,2.56003,0.270077,1.00912
0.0321032,1.02094,0.275736,2.56018,0.270082,1.00918
0.0322032,1.02106,0.275775,2.56033,0.270088,1.00924
0.0323032,1.02118,0.275814,2.56048,0.270093,1.00929
0.0324032,1.0213,0.275852,2.56064,0.270099,1.00935
0.0325033,1.02142,0.275891,2.56079,0.270104,1.00941
0.0326033,1.02154,0.275929,2.56094,0.27011,1.00947
0.0327033,1.02167,0.275968,2.56109,0.270116,1.00953
0.0328033,1.02179,0.276007,2.56125,0.270121,1.00959
0.0329033,1.02191,0.276045,2.5614,0.270127,1.00965
0.0330033,1.02203,0.276084,2.56155,0.270132,1.0097
0.0331033,1.02215,0.276123,2.5617,0.270138,1.00976
0.0332033,1.02228,0.276161,2.56185,0.270144,1.00982
0.0333033,1.0224,0.2762,2.56201,0.270149,1.00988
0.0334033,1.02252,0.276239,2.56216,0.270155,1.00994
0.0335034,1.02264,0.276277,2.56231,0.270161,1.01
0.0336034,1.02276,0.276316,2.56246,0.270166,1.01006
0.0337034,1.02288,0.276355,2.56262,0.270172,1.01011
0.0338034,1.02301,0.276394,2.56277,0.270178,1.01017
0.0339034,1.02313,0.276432,2.56292,0.270183,1.01023
0.0340034,1.02325,0.276471,2.56307,0.270189,1.01029
0.0341034,1.02337,0.27651,2.56323,0.270195,1.01035
0.0342034,1.02349,0.276549,2.56338,0.270201,1.01041
0.0343034,1.02362,0.276587,2.56353,0.270206,1.01047
0.0344034,1.02374,0.276626,2.56368,0.270212,1.01052
0.0345035,1.02386,0.276665,2.56384,0.270218,1.01058
0.0346035,1.02398,0.276704,2.56399,0.270224,1.01064
0.0347035,1.0241,0.276743,2.56414,0.27023,1.0107
0.0348035,1.02422,0.276781,2.56429,0.270235,1.01076
0.0349035,1.02435,0.27682,2.56444,0.270241,1.01082
0.0350035,1.02447,0.276859,2.5646,0.270247,1.01087
0.0351035,1.02459,0.276898,2.56475,0.270253,1.01093
0.0352035,1.02471,0.276937,2.5649,0.270259,1.01099
0.0353035,1.02483,0.276976,2.56505,0.270265,1.01105
0.0354035,1.02495,0.277015,2.56521,0.270271,1.01111
0.0355036,1.02507,0.277054,2.56536,0.270276,1.01117
0.0356036,1.0252,0.277092,2.56551,0.270282,1.01123
0.0357036,1.02532,0.277131,2.56566,0.270288,1.01128
0.0358036,1.02544,0.27717,2.56581,0.270294,1.01134
0.0359036,1.02556,0.277209,2.56597,0.2703,1.0114
0.0360036,1.02568,0.277248,2.56612,0.270306,1.01146
0.0361036,1.0258,0.277287,2.56627,0.270312,1.01152
0.0362036,1.02593,0.277326,2.56642,0.270318,1.01158
0.0363036,1.02605,0.277365,2.56658,0.270324,1.01163
0.0364036,1.02617,0.277404,2.56673,0.27033,1.01169
0.0365037,1.02629,0.277443,2.56688,0.270336,1.01175
0.0366037,1.02641,0.277482,2.56703,0.270342,1.01181
0.0367037,1.02653,0.277521,2.56718,0.270348,1.01187
0.0368037,1.02665,0.27756,2.56734,0.270354,1.01193
0.0369037,1.02678,0.277599,2.56749,0.27036,1.01199
0.0370037,1.0269,0.277638,2.56764,0.270366,1.01204
0.0371037,1.02702,0.277677,2.56779,0.270372,1.0121
0.0372037,1.02714,0.277716,2.56795,0.270378,1.01216
0.0373037,1.02726,0.277755,2.5681,0.270384,1.01222
0.0374037,1.02738,0.277794,2.56825,0.27039,1.01228
0.0375038,1.0275,0.277833,2.5684,0.270396,1.01234
0.0376038,1.02763,0.277872,2.56855,0.270402,1.01239
0.0377038,1.02775,0.277911,2.56871,0.270408,1.01245
0.0378038,1.02787,0.277951,2.56886,0.270414,1.01251
0.0379038,1.02799,0.27799,2.56901,0.270421,1.01257
0.0380038,1.02811,0.278029,2.56916,0.270427,1.01263
0.0381038,1.02823,0.278068,2.56931,0.270433,1.01269
0.0382038,1.02835,0.278107,2.56947,0.270439,1.01274
0.0383038,1.02848,0.278146,2.56962,0.270445,1.0128
0.0384038,1.0286,0.278185,2.56977,0.270451,1.01286
0.0385039,1.02872,0.278224,2.56992,0.270458,1.01292
0.0386039,1.02884,0.278264,2.57007,0.270464,1.01298
0.0387039,1.02896,0.278303,2.57023,0.27047,1.01304
0.0388039,1.02908,0.278342,2.57038,0.270476,1.01309
0.0389039,1.0292,0.278381,2.57053,0.270482,1.01315
0.0390039,1.02932,0.27842,2.57068,0.270489,1.01321
0.0391039,1.02945,0.27846,2.57083,0.270495,1.01327
0.0392039,1.02957,0.278499,2.57099,0.270501,1.01333
0.0393039,1.02969,0.278538,2.57114,0.270507,1.01339
0.0394039,1.02981,0.278577,2.57129,0.270514,1.01344
0.039504,1.02993,0.278616,2.57144,0.27052,1.0135
